***SESSION HEADER***
{
  "Participant": "NEO",
  "Timestamp": "11-04-18-05-09-2021"
}
---SESSION HEADER---
Time;Position; Rotation.X; Rotation.Y;FPS; Input;
39864.0010;(-23.1876, 1.0250, 0.0024);118.6000;9.3000;60.0140;;
39864.0180;(-23.1876, 1.0250, 0.0024);118.6000;9.3000;60.0036;;
39864.0339;(-23.1876, 1.0250, 0.0024);118.6000;9.3000;59.9882;;
39864.0679;(-23.1876, 1.0250, 0.0024);118.6000;9.3000;60.0205;;
39864.0839;(-23.1877, 1.0250, 0.0024);118.6000;9.3000;59.9791;;
39864.1009;(-23.1877, 1.0250, 0.0024);118.6000;9.3000;59.9832;;
39864.1179;(-23.1877, 1.0250, 0.0024);118.6000;9.3000;59.9900;;
39864.1339;(-23.1877, 1.0250, 0.0024);118.6000;9.3000;60.0322;;
39864.1680;(-23.1877, 1.0250, 0.0024);118.6000;9.3000;60.0328;;
39864.1840;(-23.1877, 1.0250, 0.0024);118.6000;9.3000;59.9706;;
39864.2010;(-23.1877, 1.0250, 0.0024);118.6000;9.3000;59.9692;;
39864.2180;(-23.1877, 1.0250, 0.0024);118.6000;9.3000;60.0070;;
39864.2340;(-23.1877, 1.0250, 0.0024);118.6000;9.3000;60.0057;;
39864.2680;(-23.1878, 1.0250, 0.0024);118.6000;9.3000;59.9867;;
39864.2840;(-23.1878, 1.0250, 0.0024);118.6000;9.3000;59.9721;;
39864.3010;(-23.1878, 1.0250, 0.0024);118.6000;9.3000;59.9958;;
39864.3180;(-23.1878, 1.0250, 0.0024);118.6000;9.3000;59.9984;;
39864.3340;(-23.1878, 1.0250, 0.0024);118.6000;9.3000;60.0125;;
39864.3681;(-23.1878, 1.0250, 0.0024);118.6000;9.3000;59.9942;;
39864.3841;(-23.1878, 1.0250, 0.0024);118.6000;9.3000;59.9844;;
39864.4011;(-23.1878, 1.0250, 0.0024);118.6000;9.3000;60.0097;;
39864.4171;(-23.1878, 1.0250, 0.0024);118.6000;9.3000;59.9837;;
39864.4341;(-23.1879, 1.0250, 0.0024);118.6000;9.3000;60.0248;;
39864.4681;(-23.1879, 1.0250, 0.0024);118.6000;9.3000;60.0065;;
39864.4841;(-23.1879, 1.0250, 0.0024);118.6000;9.3000;59.9575;;
39864.5011;(-23.1879, 1.0250, 0.0024);118.6000;9.3000;59.9603;;
39864.5181;(-23.1879, 1.0250, 0.0024);118.6000;9.3000;59.9987;;
39864.5341;(-23.1879, 1.0250, 0.0024);118.6000;9.3000;59.9475;;
39864.5682;(-23.1879, 1.0250, 0.0024);118.6000;9.3000;60.0312;;
39864.5842;(-23.1879, 1.0250, 0.0024);118.6000;9.3000;60.0216;;
